개방자치단체코드,관리번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3230000,202632300000800001,서울특별시 송파구청,서울특별시 송파구 바람드리길 52,서울특별시 송파구 풍납1동 476-15 맞은편 (풍납근린공원),생활방범,2,360,,30,201912,02-2147-4657,37.53726,127.12142,2026-05-01,,2026-05-22 22:28:26,2026-05-21 10:52:23
3230000,202632300000800002,서울특별시 송파구청,서울특별시 송파구 바람드리길 52,서울특별시 송파구 풍납1동 476-15 맞은편 (풍납근린공원),생활방범,2,500,,30,201912,02-2147-4657,37.53726,127.12142,2026-05-01,,2026-05-22 22:28:26,2026-05-21 10:52:23
3230000,202632300000800003,서울특별시 송파구청,서울특별시 송파구 바람드리길 2,서울특별시 송파구 풍납1동 124-5,생활방범,3,360,,30,201912,02-2147-4657,37.53826,127.11596,2026-05-01,,2026-05-22 22:28:26,2026-05-21 10:52:23
3230000,202632300000800004,서울특별시 송파구청,서울특별시 송파구 바람드리12길 14-1,서울특별시 송파구 풍납동 140-15,생활방범,3,360,,30,201912,02-2147-4657,37.53671,127.11811,2026-05-01,,2026-05-22 22:28:26,2026-05-21 10:52:23
3230000,202632300000800005,서울특별시 송파구청,서울특별시 송파구 풍성로 5길 11,서울특별시 송파구 풍납1동 175(공영주차장 앞 미래마을쪽),생활방범,2,200,,30,202512,02-2147-4657,37.53581,127.11559,2026-05-01,,2026-05-22 22:28:26,2026-05-21 10:52:23
3230000,202632300000800006,서울특별시 송파구청,서울특별시 송파구 바람드리25길 (삼성생명),서울특별시 송파구 풍납1동 473-1 이스턴베니비스 옆 475번지 근처,생활방범,2,200,,30,201801,02-2147-4657,37.53808,127.12258,2026-05-01,,2026-05-22 22:28:26,2026-05-21 10:52:23
3230000,202632300000800007,서울특별시 송파구청,서울특별시 송파구 올림픽로57길 2,서울특별시 송파구 풍납1동 490-7,생활방범,3,360,,30,201912,02-2147-4657,37.53454,127.12137,2026-05-01,,2026-05-22 22:28:26,2026-05-21 10:52:23
3230000,202632300000800008,서울특별시 송파구청,서울특별시 송파구 바람드리길 14,서울특별시 송파구 풍납동 126-1,생활방범,3,360,,30,201912,02-2147-4657,37.53802,127.11745,2026-05-01,,2026-05-22 22:28:26,2026-05-21 10:52:23
3230000,202632300000800009,서울특별시 송파구청,서울특별시 송파구 바람드리길 38-1,서울특별시 송파구 풍납동 79-3 한전주,생활방범,3,200,,30,201912,02-2147-4657,37.53744,127.12012,2026-05-01,,2026-05-22 22:28:26,2026-05-21 10:52:23
3230000,202632300000800010,서울특별시 송파구청,서울특별시 송파구 바람드리길 38-1,서울특별시 송파구 풍납동 79-3 한전주,생활방범,3,200,,30,201912,02-2147-4657,37.53744,127.12012,2026-05-01,,2026-05-22 22:28:26,2026-05-21 10:52:23
3230000,202632300000800011,서울특별시 송파구청,서울특별시 송파구 바람드리24길 22,서울특별시 송파구 풍납동 482-9,생활방범,3,360,,30,201912,02-2147-4657,37.53528,127.12148,2026-05-01,,2026-05-22 22:28:26,2026-05-21 10:52:23
3230000,202632300000800012,서울특별시 송파구청,서울특별시 송파구 바람드리24길 22,서울특별시 송파구 풍납동 482-9,생활방범,1,500,,30,201912,02-2147-4657,37.53528,127.12148,2026-05-01,,2026-05-22 22:28:26,2026-05-21 10:52:23
3230000,202632300000800013,서울특별시 송파구청,서울특별시 송파구 바람드리4길 4,서울특별시 송파구 풍납동 126-18,생활방범,2,360,,30,201912,02-2147-4657,37.53772,127.11721,2026-05-01,,2026-05-22 22:28:26,2026-05-21 10:52:23
3230000,202632300000800014,서울특별시 송파구청,서울특별시 송파구 바람드리14길 7,서울특별시 송파구 풍납동 141-19,생활방범,2,300,,30,201912,02-2147-4657,37.53722,127.11912,2026-05-01,,2026-05-22 22:28:26,2026-05-21 10:52:23
3230000,202632300000800015,서울특별시 송파구청,서울특별시 송파구 올림픽로53길 7,서울특별시 송파구 풍납동 499-4,생활방범,4,200,,30,202512,02-2147-4657,37.53377,127.12046,2026-05-01,,2026-05-22 22:28:26,2026-05-21 10:52:23
3230000,202632300000800016,서울특별시 송파구청,서울특별시 송파구 바람드리9길 8,서울특별시 송파구 풍납동 87-9,생활방범,4,200,,30,202512,02-2147-4657,37.53835,127.11908,2026-05-01,,2026-05-22 22:28:26,2026-05-21 10:52:23
3230000,202632300000800017,서울특별시 송파구청,서울특별시 송파구 풍성로15길 28,서울특별시 송파구 풍납동 126-204,생활방범,1,200,,30,202512,02-2147-4657,37.53667,127.11617,2026-05-01,,2026-05-22 22:28:26,2026-05-21 10:52:23
3230000,202632300000800018,서울특별시 송파구청,서울특별시 송파구 한가람로18길 8,서울특별시 송파구 풍납동 123-1,생활방범,1,200,,30,201701,02-2147-4657,37.53881,127.11758,2026-05-01,,2026-05-22 22:28:26,2026-05-21 10:52:23
3230000,202632300000800019,서울특별시 송파구청,서울특별시 송파구 바람드리28길 5,서울특별시 송파구 풍납동 480-3,생활방범,3,200,,30,201912,02-2147-4657,37.53636,127.1221,2026-05-01,,2026-05-22 22:28:26,2026-05-21 10:52:23
3230000,202632300000800020,서울특별시 송파구청,서울특별시 송파구 바람드리28길 5,서울특별시 송파구 풍납동 480-3,생활방범,1,500,,30,201801,02-2147-4657,37.53636,127.1221,2026-05-01,,2026-05-22 22:28:26,2026-05-21 10:52:23
3230000,202632300000800021,서울특별시 송파구청,서울특별시 송파구 바람드리16길 17,서울특별시 송파구 풍납동 142-112,생활방범,3,200,,30,202512,02-2147-4657,37.53631,127.1189,2026-05-01,,2026-05-22 22:28:26,2026-05-21 10:52:23
3230000,202632300000800022,서울특별시 송파구청,서울특별시 송파구 한가람로20길 12,서울특별시 송파구 풍납동 95-3,생활방범,3,200,,30,202512,02-2147-4657,37.53993,127.11944,2026-05-01,,2026-05-22 22:28:26,2026-05-21 10:52:23
3230000,202632300000800023,서울특별시 송파구청,서울특별시 송파구 바람드리13길 9,서울특별시 송파구 풍납동 83-47,생활방범,4,200,,30,201801,02-2147-4657,37.53836,127.11977,2026-05-01,,2026-05-22 22:28:26,2026-05-21 10:52:23
3230000,202632300000800024,서울특별시 송파구청,서울특별시 송파구 바람드리길 15-30,서울특별시 송파구 풍납동 88-54,생활방범,4,200,,30,201801,02-2147-4657,37.53842,127.11821,2026-05-01,,2026-05-22 22:28:26,2026-05-21 10:52:23
3230000,202632300000800025,서울특별시 송파구청,서울특별시 송파구 바람드리길 15-30,서울특별시 송파구 풍납동 88-54,생활방범,2,200,,30,201801,02-2147-4657,37.53842,127.11821,2026-05-01,,2026-05-22 22:28:26,2026-05-21 10:52:23
3230000,202632300000800026,서울특별시 송파구청,서울특별시 송파구 바람드리15길 12-2,서울특별시 송파구 풍납동 80-24,생활방범,4,200,,30,201801,02-2147-4657,37.53842,127.12051,2026-05-01,,2026-05-22 22:28:26,2026-05-21 10:52:23
